| Período    | Tipo        | Grupo Optativa | Código   | Disciplina                                                                 | Carga Horária (h) |
| ---------- | ----------- | -------------- | -------- | -------------------------------------------------------------------------- | ----------------: |
| 1º Período | Obrigatória | -              | CC1AED1  | Algoritmos E Estrutura De Dados I                                          |                90 |
| 1º Período | Obrigatória | -              | CC1ICC   | Introdução À Ciência Da Computação                                         |                45 |
| 1º Período | Obrigatória | -              | CC1MBD   | Modelagem De Banco De Dados                                                |                60 |
| 1º Período | Obrigatória | -              | HU1LA    | Linguagem Acadêmica                                                        |                45 |
| 1º Período | Obrigatória | -              | MA1FM    | Fundamentos De Matemática                                                  |                60 |
| 1º Período | Obrigatória | -              | MA1LM    | Lógica Matemática                                                          |                45 |
| 2º Período | Obrigatória | -              | CC2AED2  | Algoritmos E Estrutura De Dados Ii                                         |                60 |
| 2º Período | Obrigatória | -              | CC2CLD   | Circuitos Lógicos Digitais                                                 |                60 |
| 2º Período | Obrigatória | -              | CC2ER    | Engenharia De Requisitos                                                   |                60 |
| 2º Período | Obrigatória | -              | CC2POO   | Programação Orientada A Objetos                                            |                60 |
| 2º Período | Obrigatória | -              | MA2MA    | Matemática Aplicada                                                        |                60 |
| 2º Período | Optativa    | [412]          | OPHCC    | Canto Coral                                                                |                30 |
| 2º Período | Optativa    | [412]          | OPHE     | Empreendedorismo                                                           |                30 |
| 2º Período | Optativa    | [412]          | OPHFE    | Fundamentos Da Ética                                                       |                30 |
| 2º Período | Optativa    | [412]          | OPHGIT   | Gestão Da Inovação E Tecnologia                                            |                30 |
| 2º Período | Optativa    | [412]          | OPHHCA   | História E Cultura Afro                                                    |                30 |
| 2º Período | Optativa    | [412]          | OPHIT1   | Inglês Técnico I                                                           |                30 |
| 2º Período | Optativa    | [412]          | OPHIT2   | Inglês Técnico Ii                                                          |                30 |
| 2º Período | Optativa    | [412]          | OPHL     | Libras I                                                                   |                30 |
| 2º Período | Optativa    | [412]          | OPHL2    | Libras 2                                                                   |                30 |
